name	officenumber	dir
01 AT&T	9+ 101-0288+0	it
02 Bell South	910-102880	115
03 Excel	800-783-9235	115
05 Sprint (number +0)	800-877-8000	nicu
06 VA Extensions	63+ext	it
07 VA Paging	63-32	
10WT - Waiting for room assignment - xfer to Admissions	265-0236	nicu
15ES - Peds ER nurse station	5-5437	it
21CA - CATH LAB NORTH TOWER	5-0119	115
23AS	5-0023	115
23OR - Pt in surgery - xfer to waiting room or OR(50023)	4-6186	115
23OR	5-0023	115
23RR - Pt in recovery - xfer to waiting room or OR(50023)	4-6186	115
23RR	5-0023	it
33N3	5-0033	
34LD	5-0034	nicu
34OP -UNIT 34 NORTH TOWER	5-0034	115
35N2 - NICU II	5-0352	115
4E (Nurse Station) FAX Rm 4207 Bldg P04	733-1317	
4E SICU / Intermediate Care Rm 42XX Bldg P04	733-0942	
4th Floor Info Desk	4-5674	it
4th Floor Reception Bldg P04	733-0940	it
4W (Nurse Station) FAX Rm 4121 Bldg P04	733-1321	it
4W SICU /sicu trauma/ IMC/ Rm 41XX Bldg P04	733-0941	
5E Onc/Surg (Nurse Station) FAX Rm 5207 Bldg P04	733-1327	nicu
5E Onc/Surg 52-xxx Bldg P04	733-0952	it
5W Trauma (Nurse Station) FAX Rm 5147 Bldg P04	733-1328	
5W Trauma 51-xxx Bldg P04	733-0951	it
5W Trauma 51- backline for Clerk P04	2-9277	
6E Spec Surg (Nurse Station) FAX Rm 6207 Bldg P04	733-1331	it
6E Spec Surg 62-xxx Bldg P04	733-0962	
6W Ortho (Nurse Station) FAX Rm 6147 Bldg P04	733-1333	
6W Ortho 61-xxx Bldg P04	733-0961	
72TU - ADTU 7TH FLOOR NORTH TOWER	5-1372	it
7E BMT-Out Patient Clinic Bldg P04	733-0972	nicu
7E BMT Clinic (BMT Coord/Assistant) FAX Rm 7222 Bldg P04	733-1338	it
7W BMT (Nurse Station) FAX Rm 7147 Bldg P04	733-1335	nicu
7W BMT 71-xxx Bldg P04 Adult	733-0971	115
8E Hem/Onc (Coordinator Office) FAX Rm 8251 Bldg P04	733-1382	it
8E Hem/Onc (Nurse Station) FAX Rm 8207 Bldg P04	733-1342	
8E Hem/Onc 80-xxx Bldg P04	733-0980	nicu
8E Hem/Onc 82-xxx Bldg P04	733-0982	it
Abuse Hotline (Adult&Peds)	800-962-2873	115
Accent Physicians	372-9414	it
Access Services - Family Practice referrals	352-265-1234	nicu
Access Services - Referrals for Speciality Clinics Outpat	352-265-5555	115
Accounting Services-Cost,Price,and Reimbursement(inhouse)	265-7967	nicu
Accounting Services - Accounts Payable	265-7961	nicu
Accounting Services - Auditings, Internal	265-7969	115
Accounting Services - Budget and Planning	265-7965	it
Accounting Services - Fax	265-7966	it
Accounting Services - Finance	265-7962	nicu
Accounting Services - Financial Analysis	265-7964	nicu
Accounting Services - General Accounting	265-7962	115
Accounts Payable	265-7961	
Accreditation & Licensure(Quality Management) - Fax	265-0639	115
Accreditation & Licensure(Quality Management)	265-0002	nicu
Acorn Clinic	485-1133	115
Acute Pain Service - Fellow	352-219-5453	
Acute Pain Service - Resident	352-494-1496	115
Acute Stress (HELP)	265-4357	it
ADD(Ped Multi Specialty)	334-0228	115
Addiction Consult - Inpatient Only	413-6810	
Addiction Recovery Center - 4001 SW 13th St	265-4372	
ADD (HELP)	265-4357	nicu
ADHD (HELP)	265-4357	
Administration-Assoc. VP Comm. & PR- Wanda English	352-265-0373	nicu
Administration-Assoc. VP Supply Chain- Laura Kowalczyk	352-733-0005	115
Administration-Associate VP Nursing- Duke Lim	352-733-1329	nicu
Administration-Associate VP Nursing- Wanda Whittet	352-733-1325	
Administration-Associate VP Operations- Anna M. Brandt	352-594-1350	
Administration-Associate VP Operations- Diana Richardson	352-594-1350	115
Administration-Associate VP Operations- Drew Smithson	352-594-1350	115
Administration-Director Internal Audit- Tammy Rice	352-265-7237	
Administration-Sr. VP & Quality Officer- Randy Harmatz	352-594-1307	it
Administration-VP Compliance & Privacy-Elizabeth Ruszczyk	352-627-0950	it
Administration- Business Dev. Director- Dana Nemenyi	352-733-0003	nicu
Administration- CCO - Chief Communications Officer	352-273-5810	it
Administration- CCO - Melanie Ross	352-273-5810	115
Administration- Children's Hospital- Mark Amox	352-273-5014	
Administration- VP Revenue Cycle- Chuck Behl	352-265-8482	115
Administration - CDO - Chief Development Officer	352-273-9620	115
Administration - CDO - Mary Ann Kiely	352-273-9620	
Administration - CEO - Chief Executive Officer	352-733-1500	nicu
Administration - CEO - Edward Jimenez	352-733-1500	
Administration - CFO - Chief Financial Officer	352-733-1600	nicu
Administration - CFO - James J. Kelly, Jr.	352-733-1600	115
Administration - CIO - Chief Information Officer	352-594-1000	115
Administration - CIO VP - Kari Cassel	352-594-1000	it
Administration - CMO - Chief Medical Officer	352-273-7520	nicu
Administration - CMO - Timothy C. Flynn	352-273-7520	
Administration - CNO - Chief Nursing Officer	352-594-1308	
Administration - COO - Chief Operations Officer	352-265-0440	nicu
Administration - COO - vacant	352-265-0440	
Administration - Sr Dir Marketing & PR	352-265-0373	115
Administration - Sr VP & General Counsel - James Roberts	352-733-1600	115
Administration - Sr VP Health Affairs - David S. Guzick	352-733-1700	nicu
Administration - Sr VP Human Resources - Janet Christie	352-265-7949	115
Administration - Vista/Rehab - Marina Cecchini	352-265-5491	115
Administration - VP & CNO - Irene Alexaitis	352-594-1308	it
Administration - VP Facilities Dev - Bradley S. Pollitt	352-594-5073	
Administration - VP Finance - Vacant	352-265-8304	115
Administration - VP Managed Care - Vacant	352-265-8482	nicu
Administration - VP Planning & Business Dev - S. Blumberg	904-244-7796	115
Admissions - Administration - Fax	265-0363	it
Admissions - Administration	265-0322	
Admissions - Bed Control	265-0233	
Admissions - Discharge - Fax	265-0363	115
Admissions - Discharge Unit 1st flr	265-0930	115
Admissions - Financial Counselors	265-0477	nicu
Admissions - Starke	904-368-2304	115
Admissions Financial Counselors - Estimates on Procedures	352-265-0477	115
Admissions Main Bldg P04	733-0828	
Admissions	265-0236	115
Adolescent Clinic(Peds CMS)	334-0206	nicu
Adolescent Clinic - Administration	334-1357	nicu
Adolescent Psychiatry Hospital	265-5481	115
Adreima - HICRA	5-2941	115
Adreima - Hospital Pt.Financial Aid	5-2941	
Adreima - Patient Financial Aid -Medicaid & Disability	5-2941	it
ADTU - Patient Discharge Lounge	4-3587	it
ADTU Unit on 72	265-1372	115
ADTU Unit 1st Flr	265-0930	nicu
Adult ED P04	3-0815	nicu
Adult ER P04	3-0815	it
Adult Medical Oncology	352-265-0725	
Adult Psychiatric Hospital	265-5481	
Adult Psychiatry (HELP)	265-4357	it
Aesthetic Center	265-8402	nicu
After Hours Primary Care-After 6P-9P MON-FRI/ SAT 10a-1p	352-273-8613	it
After Hours Primary Care- Before 6PM call Mon.- FRI.	352-265-1234	it
Aggression	265-4372	nicu
AGH - Billy`s Towing Service no answer call 371-7028	352-376-0144	
Agoraphobia (HELP)	265-4357	it
AHEC	265-8026	
Al'z Place (Eldercare)	375-3000	
Alachua County Ambulance Service	955-1818	115
Alachua County Crisis Center	264-6789	nicu
Alachua County Health Department	334-7900	nicu
Alachua County Medicaid	(386) 418-5350	it
Alachua County Medical Society	352-376-0715	it
Alachua County Sheriffs Office - Information	264-6600	115
Alcohol Abuse	265-4372	nicu
Alcohol	265-4372	nicu
Allergy Clinic ( Adults ) Hampton Oaks ENT	265-9465	nicu
Allergy Clinic ( Peds )	265-8250	115
Allergy Clinic - Internal Medicine Medical Specialties	352-265-0420	nicu
Allergy Clinic at Medical Specialties	352-265-0420	nicu
Alliance Pediatrics	(352) 371-0301	it
Allied Health Recruitment	5-7576	it
Alpha 1 antitrypsin (Vince Corcoran)	392-7558	115
Alpha 1 Antitryspin Lab	294-5201	115
Alumni Affairs - UF	352-392-1905	nicu
Alxheimers	265-5481	nicu
Ambulance ( Non Emerency )	384-3150	nicu
Ambulatory Care Surgery P04	3-0922	115
Ambulatory Surgery Waiting - P04	3-0919	
Ambulatory Surgery waiting area - Check In	4-5750	it
Ambulatory Surgery waiting area 1st floor	4-7414	it
American Cancer Society (wigs)	376-6866	it
Amphetamine - induced disorders	265-4372	
Amphetamine	265-4372	nicu
Anatomical Board (bodies to science) - days	392-3588	it
Anatomical Board - after hrs & wkends	379-4742	nicu
Anatomical Board - Fax	392-3940	it
Anatomical Board - Tollfree	800-628-2594	
Anatomical Lab FAX Rm 23C9.1 Bldg P04	733-1314	nicu
Anatomy & Cell Biology - Fax	392-3305	
Anesthesia - Admin & Fiscal Offices - Fax	265-8013	it
Anesthesia - Admin & Fiscal Offices	294-5078	it
Anesthesia - Chairman's Office - Fax	392-6464	115
Anesthesia - Chairman's Office	273-8610	
Anesthesia - Critical Care Medicine	265-0463	nicu
Anesthesia - Faculty Offices - 5th Floor - Fax	392-7029	
Anesthesia - Faculty Offices - 5th Floor	(352) 273-6575	nicu
Anesthesia - Library	4-3771	115
Anesthesia - Pediatric Critical Care Medicine - Fax	265-0443	nicu
Anesthesia - Peds Critical Care Medicine -Administration	265-0462	115
Anesthesia - Pre-Op 1ST FLOOR (FAX LINE)	4-6360	nicu
Anesthesia - Pre-OP Resident (for In-house staff only)	260-8884	115
Anesthesia - Pre Surgical Center (formerly Preop clinic)	265-0076	nicu
Anesthesia - Residents Office - Fax	265-6922	it
Anesthesia - Residents Office	265-0077	nicu
Anesthesia - Residents Pre-Op (in-house staff only)	260-8884	nicu
Anesthesia Block Room 2219 P04 bldg	3-1142	115
Anesthesia Block Room	4-4207	115
Anesthesia Dept. Main Line	273-6575	115
Anesthesia IMC	494-9189	nicu
Anesthesia Pain Back-up	494-1496	115
Anesthesia SICU	494-9189	
Anesthesia Work Room (OR) Tech room	4-5631	
Anesthesia	352-265-0076	nicu
Anger (HELP)	265-4357	
Angiogram - Radioloy Scheduling	265-0104	it
Animal Research Lab	392-3171	
Animal Resources-34th St.Farm Unit Supv.	870-3036	115
Animal Resources - Farm and Primate Animal Care	392-3171	nicu
Anonymous HIV Testing	392-9719	
Anthrax testing - Infection Control	265-0284	
